0,63,62,58,53,72,48,60,49,42,27,57,52,47,38,24,31,49,22,36,84,31
63,0,16,33,19,25,24,41,46,44,40,53,48,72,60,56,67,68,55,67,25,39
62,16,0,33,21,38,22,28,32,42,37,40,47,70,58,54,67,54,44,54,25,39
58,33,33,0,15,29,26,57,62,23,51,70,18,43,32,40,43,82,63,81,56,39
53,19,21,15,0,21,15,45,51,29,40,58,32,57,45,41,53,70,54,70,40,33
72,25,38,29,21,0,33,62,68,45,58,75,45,70,61,60,68,87,71,87,44,51
48,24,22,26,15,33,0,35,40,25,30,49,28,52,40,36,49,60,44,60,45,25
60,41,28,57,45,62,35,0,18,46,36,15,52,73,60,54,68,34,41,42,30,36
49,46,32,62,51,68,40,18,0,46,22,14,55,61,49,43,55,27,28,27,46,26
42,44,42,23,29,45,25,46,46,0,37,58,16,34,22,24,29,68,48,65,66,23
27,40,37,51,40,58,30,36,22,37,0,32,46,49,37,24,36,34,17,33,59,16
57,53,40,70,58,75,49,15,14,58,32,0,63,71,58,53,65,22,38,38,38,36
52,48,47,18,32,45,28,52,55,16,46,63,0,31,19,31,30,76,56,76,69,33
47,72,70,43,57,70,52,73,61,34,49,71,31,0,14,30,22,74,55,73,92,37
38,60,58,32,45,61,40,60,49,22,37,58,19,14,0,18,14,67,46,65,80,25
24,56,54,40,41,60,36,54,43,24,24,53,31,30,18,0,19,52,32,50,77,20
31,67,67,43,53,68,49,68,55,29,36,65,30,22,14,19,0,58,39,57,87,32
49,68,54,82,70,87,60,34,27,68,34,22,76,74,67,52,58,0,28,27,51,47
22,55,44,63,54,71,44,41,28,48,17,38,56,55,46,32,39,28,0,21,67,30
36,67,54,81,70,87,60,42,27,65,33,38,76,73,65,50,57,27,21,0,68,47
84,25,25,56,40,44,45,30,46,66,59,38,69,92,80,77,87,51,67,68,0,60
31,39,39,39,33,51,25,36,26,23,16,36,33,37,25,20,32,47,30,47,60,0
